OBJECTID;Quartiernummer;Quartiername;Kreisnummer;Kreisname;radstreifen_LENGTH;LENGTH;area_km2;radweg_pro_km2;radparkplatz_PNTCNT;parkplatz_pro_k2;einkommen_p50;einwohneranzahl;sum_streifen_wege;einwohner_pro_km2
16;13;Lindenhof;1;Kreis 1;458,185115777261956;446,265155643160028;0,23000;3932,3923;41;178,260869565217;20,10;974;904,450271420422;4234,78260869565
7;41;Werd;4;Kreis 4;2030,872073691432433;408,672966804334862;0,31000;7869,4995;52;167,741935483871;46,65;4460;2439,54504049577;14387,0967741935
23;11;Rathaus;1;Kreis 1;844,284505171640717;405,854609763439839;0,38000;3289,8398;27;71,0526315789474;48,10;3197;1250,13911493508;8413,15789473684
29;12;Hochschulen;1;Kreis 1;433,015979170336323;844,868338895923785;0,56000;2281,9363;37;66,0714285714286;41,10;641;1277,88431806626;1144,64285714286
3;82;Mühlebach;8;Kreis 8;783,678530363546315;350,061091964437196;0,63000;1799,5867;26;41,2698412698413;55,35;6116;1133,73962232798;9707,93650793651
22;14;City;1;Kreis 1;1501,633128244843647;2324,311798722737421;0,64000;5978,0386;58;90,625;9,55;805;3825,94492696758;1257,8125
34;51;Gewerbeschule;5;Kreis 5;1257,383762783240854;605,409508318961230;0,73000;2551,7715;85;116,438356164384;38,60;9608;1862,7932711022;13161,6438356164
12;42;Langstrasse;4;Kreis 4;1615,232849289621754;1305,903580845412762;1,13000;2585,0764;113;100;39,70;11169;2921,13643013503;9884,07079646018
26;121;Saatlen;12;Kreis 12;899,780669785593773;2871,534399251717332;1,13000;3337,447;22;19,4690265486726;31,30;8508;3771,31506903731;7529,20353982301
13;52;Escher Wyss;5;Kreis 5;2409,577575578171491;8781,994417330502984;1,27000;8812,262;117;92,1259842519685;55,75;5457;11191,5719929087;4296,85039370079
15;44;Hard;4;Kreis 4;3587,630699401883703;1857,911278282413605;1,46000;3729,8232;44;30,1369863013699;34,10;13072;5445,5419776843;8953,42465753425
8;34;Sihlfeld;3;Kreis 3;3268,415604100153359;1908,209514168082023;1,64000;3156,4788;108;65,8536585365854;41,10;21339;5176,62511826824;13011,5853658537
2;83;Weinegg;8;Kreis 8;803,298922673115612;566,589146756940636;1,72000;796,44653;17;9,88372093023256;46,50;5086;1369,88806943006;2956,97674418605
33;31;Alt-Wiedikon;3;Kreis 3;1562,245112631885604;1360,403059606562920;1,85000;1579,8098;91;49,1891891891892;49,30;17158;2922,64817223845;9274,5945945946
17;102;Wipkingen;10;Kreis 10;5213,588610304446775;847,499102942184209;2,11000;2872,5535;37;17,5355450236967;44,90;15879;6061,08771324663;7525,59241706161
1;73;Hirslanden;7;Kreis 7;836,522357540996836;698,970199803918035;2,20000;697,9512;10;4,54545454545454;47,40;7380;1535,49255734491;3354,54545454545
32;122;Schwamendingen-Mitte;12;Kreis 12;1117,106575304120497;2037,189235363881380;2,23000;1414,4824;6;2,69058295964126;32,65;11315;3154,295810668;5073,99103139013
11;24;Enge;2;Kreis 2;5179,645888263936286;6545,349806597995666;2,40000;4885,415;70;29,1666666666667;55,40;9257;11724,9956948619;3857,08333333333
4;81;Seefeld;8;Kreis 8;472,801580996542612;2968,655012271216947;2,45000;1404,6761;32;13,0612244897959;60,10;4990;3441,45659326776;2036,73469387755
18;61;Unterstrass;6;Kreis 6;8377,225984248023451;5507,948194366941607;2,46000;5644,3794;73;29,6747967479675;45,70;22226;13885,174178615;9034,9593495935
31;123;Hirzenbach;12;Kreis 12;393,795990759439519;1862,791451120238435;2,62000;861,2929;16;6,10687022900763;29,00;11930;2256,58744187968;4553,43511450382
25;63;Oberstrass;6;Kreis 6;1777,007666696586966;770,054039075667902;2,64000;964,79614;36;13,6363636363636;51,35;10641;2547,06170577225;4030,68181818182
20;115;Oerlikon;11;Kreis 11;4538,033771047623304;1078,851774275220578;2,67000;2103,7026;94;35,2059925093633;43,90;21966;5616,88554532284;8226,96629213483
24;71;Fluntern;7;Kreis 7;876,844985881461639;631,625851664551874;2,84000;531,1517;25;8,80281690140845;55,70;7953;1508,47083754601;2800,35211267606
6;23;Leimbach;2;Kreis 2;2366,065532561844066;0,000000000000000;2,92000;810,2964;2;0,684931506849315;37,40;6102;2366,06553256184;2089,72602739726
9;91;Albisrieden;9;Kreis 9;2081,857760041375968;1591,290391416564262;4,60000;798,5105;28;6,08695652173913;41,15;19325;3673,14815145794;4201,08695652174
27;119;Seebach;11;Kreis 11;5307,995649516701633;5720,374595282951304;4,72000;2336,519;47;9,95762711864407;38,40;24991;11028,3702447997;5294,70338983051
14;74;Witikon;7;Kreis 7;644,158014342151546;889,383269508157355;4,93000;311,06314;3;0,608519269776876;46,20;10639;1533,54128385031;2158,0121703854
10;72;Hottingen;7;Kreis 7;766,380645145594372;999,509993864943226;5,05000;349,6813;33;6,53465346534654;53,70;11081;1765,89063901054;2194,25742574257
28;33;Friesenberg;3;Kreis 3;1053,408459119172221;0,000000000000000;5,15000;204,54533;36;6,99029126213592;32,60;10698;1053,40845911917;2077,28155339806
5;21;Wollishofen;2;Kreis 2;3457,618511103396941;5112,896075930560073;5,75000;1490,5243;26;4,52173913043478;42,00;16244;8570,51458703396;2825,04347826087
21;111;Affoltern;11;Kreis 11;1772,090732940529733;7510,342448074783533;6,04000;1536,8268;21;3,47682119205298;38,70;25874;9282,43318101531;4283,77483443709
19;101;Höngg;10;Kreis 10;2341,218709638902510;6112,661507288642497;6,98000;1211,1576;66;9,45558739255014;48,20;22320;8453,88021692754;3197,70773638968
30;92;Altstetten;9;Kreis 9;10268,743734396410218;12791,945549734578890;7,47000;3087,107;55;7,36278447121821;40,30;32003;23060,689284131;4284,20348058902
